timestamp,rangers_cents,rangers_decimal,rangers_probability,blackhawks_cents,blackhawks_decimal,blackhawks_probability,latency_ms
2025-12-11 01:01:58.231,60,1.67,0.60,48,2.10,0.48,446
2025-12-11 01:01:59.177,60,1.67,0.60,48,2.10,0.48,435
2025-12-11 01:02:00.142,60,1.67,0.60,48,2.10,0.48,454
2025-12-11 01:02:01.087,60,1.67,0.60,48,2.10,0.48,435
2025-12-11 01:02:02.036,60,1.67,0.60,48,2.10,0.48,439
2025-12-11 01:02:02.983,60,1.67,0.60,48,2.10,0.48,436
2025-12-11 01:02:03.912,60,1.67,0.60,48,2.10,0.48,420
2025-12-11 01:02:04.863,60,1.67,0.60,48,2.10,0.48,440
2025-12-11 01:02:05.803,60,1.67,0.60,48,2.10,0.48,431
2025-12-11 01:02:06.730,60,1.67,0.60,48,2.10,0.48,417
2025-12-11 01:02:07.665,60,1.67,0.60,48,2.10,0.48,425
