timestamp,tulane_cents,tulane_decimal,tulane_probability,northtexas_cents,northtexas_decimal,northtexas_probability,latency_ms
2025-12-05 19:09:28.069,60,1.68,0.60,49,2.05,0.49,534
2025-12-05 19:09:29.130,60,1.68,0.60,49,2.05,0.49,557
2025-12-05 19:09:30.172,60,1.68,0.60,49,2.05,0.49,537
2025-12-05 19:09:31.225,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:09:32.337,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:09:33.385,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:09:34.468,60,1.68,0.60,49,2.05,0.49,581
2025-12-05 19:09:35.515,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:09:36.567,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:09:37.602,60,1.68,0.60,49,2.05,0.49,534
2025-12-05 19:09:38.833,60,1.68,0.60,49,2.05,0.49,562
2025-12-05 19:09:39.884,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:09:40.928,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:09:41.993,60,1.68,0.60,49,2.05,0.49,559
2025-12-05 19:09:43.069,60,1.68,0.60,49,2.05,0.49,570
2025-12-05 19:09:44.111,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:09:45.250,60,1.68,0.60,49,2.05,0.49,547
2025-12-05 19:09:46.299,60,1.68,0.60,49,2.05,0.49,546
2025-12-05 19:09:47.350,60,1.68,0.60,49,2.05,0.49,549
2025-12-05 19:09:48.384,60,1.68,0.60,49,2.05,0.49,529
2025-12-05 19:09:49.445,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:09:50.539,60,1.68,0.60,49,2.05,0.49,580
2025-12-05 19:09:51.580,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:09:52.624,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:09:53.680,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:09:54.728,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:09:56.042,60,1.68,0.60,49,2.05,0.49,809
2025-12-05 19:09:57.087,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:09:58.143,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:09:59.204,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:10:00.416,60,1.68,0.60,49,2.05,0.49,708
2025-12-05 19:10:01.517,60,1.68,0.60,49,2.05,0.49,590
2025-12-05 19:10:02.564,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:10:03.645,60,1.68,0.60,49,2.05,0.49,572
2025-12-05 19:10:04.681,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:10:05.740,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:10:06.878,60,1.68,0.60,49,2.05,0.49,560
2025-12-05 19:10:07.925,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:10:08.976,60,1.68,0.60,49,2.05,0.49,547
2025-12-05 19:10:10.178,60,1.68,0.60,49,2.05,0.49,698
2025-12-05 19:10:11.228,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:10:12.288,60,1.68,0.60,49,2.05,0.49,559
2025-12-05 19:10:13.359,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:10:14.427,60,1.68,0.60,49,2.05,0.49,562
2025-12-05 19:10:15.518,60,1.68,0.60,49,2.05,0.49,590
2025-12-05 19:10:16.566,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:10:17.620,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:10:19.484,60,1.68,0.60,49,2.05,0.49,1359
2025-12-05 19:10:20.547,60,1.68,0.60,49,2.05,0.49,557
2025-12-05 19:10:21.609,60,1.68,0.60,49,2.05,0.49,560
2025-12-05 19:10:22.682,60,1.68,0.60,49,2.05,0.49,567
2025-12-05 19:10:23.724,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:10:24.819,60,1.68,0.60,49,2.05,0.49,561
2025-12-05 19:10:25.869,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:10:26.909,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:10:27.960,60,1.68,0.60,49,2.05,0.49,549
2025-12-05 19:10:29.014,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:10:30.111,60,1.68,0.60,49,2.05,0.49,594
2025-12-05 19:10:31.167,60,1.68,0.60,49,2.05,0.49,549
2025-12-05 19:10:32.224,60,1.68,0.60,49,2.05,0.49,555
2025-12-05 19:10:33.291,60,1.68,0.60,49,2.05,0.49,561
2025-12-05 19:10:34.342,60,1.68,0.60,49,2.05,0.49,548
2025-12-05 19:10:35.390,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:10:36.448,60,1.68,0.60,49,2.05,0.49,551
2025-12-05 19:10:37.493,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:10:38.540,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:10:39.616,60,1.68,0.60,49,2.05,0.49,571
2025-12-05 19:10:40.664,60,1.68,0.60,49,2.05,0.49,544
2025-12-05 19:10:41.704,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:10:42.766,60,1.68,0.60,49,2.05,0.49,556
2025-12-05 19:10:43.813,60,1.68,0.60,49,2.05,0.49,541
2025-12-05 19:10:44.845,60,1.68,0.60,49,2.05,0.49,530
2025-12-05 19:10:45.890,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:10:46.935,60,1.68,0.60,49,2.05,0.49,540
2025-12-05 19:10:47.984,60,1.68,0.60,49,2.05,0.49,543
2025-12-05 19:10:49.029,60,1.68,0.60,49,2.05,0.49,539
2025-12-05 19:10:50.068,60,1.68,0.60,49,2.05,0.49,538
2025-12-05 19:10:51.115,60,1.68,0.60,49,2.05,0.49,535
2025-12-05 19:10:52.172,60,1.68,0.60,49,2.05,0.49,554
2025-12-05 19:10:53.225,60,1.68,0.60,49,2.05,0.49,547
2025-12-05 19:10:54.275,60,1.68,0.60,49,2.05,0.49,545
2025-12-05 19:10:55.492,60,1.68,0.60,49,2.05,0.49,712
2025-12-05 19:10:56.534,60,1.68,0.60,49,2.05,0.49,533
2025-12-05 19:10:57.577,60,1.68,0.60,49,2.05,0.49,542
2025-12-05 19:10:58.642,60,1.68,0.60,49,2.05,0.49,559
2025-12-05 19:10:59.696,60,1.68,0.60,49,2.05,0.49,550
2025-12-05 19:11:00.750,60,1.68,0.60,49,2.05,0.49,552
2025-12-05 19:11:01.821,60,1.68,0.60,49,2.05,0.49,565
2025-12-05 19:11:02.907,60,1.68,0.60,49,2.05,0.49,579
2025-12-05 19:11:03.991,60,1.68,0.60,49,2.05,0.49,582
